player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Nico Elvedi,ch SUI,DF,M'Gladbach,24-136,1996,16.5,39,20,26,12,1,16,24,66.7,8,122,45,36.9,74,46,2,35,13,0,22,27,66,81,0,Matches
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23-365,1997,11.4,14,10,3,8,3,2,4,50.0,2,193,45,23.3,12,107,74,10,1,0,9,4,18,4,0,Matches
Keita Endo,jp JPN,"MF,FW",Union Berlin,23-083,1997,1.3,1,1,0,1,0,0,2,0.0,2,21,8,38.1,9,8,4,3,0,0,3,0,1,1,0,Matches
Wataru Endo,jp JPN,MF,Stuttgart,28-004,1993,20.0,63,46,28,27,8,20,42,47.6,22,370,150,40.5,130,202,38,39,9,0,30,26,89,36,1,Matches
Patrick Erras,de GER,"FW,MF",Werder Bremen,26-023,1995,0.2,0,0,0,0,0,0,1,0.0,1,2,2,100.0,0,1,1,1,0,0,1,0,0,0,0,Matches
Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,12.5,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,23-157,1997,20.0,31,19,21,7,3,16,31,51.6,15,171,69,40.4,93,65,13,38,16,0,22,25,56,132,2,Matches
Edimilson Fernandes,ch SUI,"MF,DF",Mainz 05,24-304,1996,8.6,9,5,4,5,0,3,10,30.0,7,103,33,32.0,34,50,19,16,6,0,10,20,29,25,0,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,32-012,1989,4.6,1,1,0,1,0,0,2,0.0,2,60,20,33.3,13,29,18,6,1,0,5,1,2,3,0,Matches
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,29-113,1991,10.4,11,5,1,5,5,3,13,23.1,10,164,58,35.4,19,59,86,8,1,0,7,6,17,3,0,Matches
Philipp Förster,de GER,"MF,FW",Stuttgart,26-009,1995,5.7,7,4,4,2,1,0,4,0.0,4,59,17,28.8,11,30,18,8,1,0,7,6,13,1,0,Matches
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23-042,1998,2.1,3,1,1,2,0,1,1,100.0,0,14,4,28.6,3,9,2,10,1,0,9,1,4,3,0,Matches
Raphael Framberger,de GER,DF,Augsburg,25-160,1995,9.1,24,9,14,5,5,7,12,58.3,5,115,32,27.8,63,32,20,36,4,0,32,15,39,38,1,Matches
Marco Friedl,at AUT,DF,Werder Bremen,22-334,1998,19.0,39,27,21,15,3,20,37,54.1,17,186,50,26.9,113,66,7,35,9,0,26,34,73,87,1,Matches
Marvin Friedrich,de GER,DF,Union Berlin,25-062,1995,20.0,34,18,19,15,0,11,24,45.8,13,207,88,42.5,108,87,12,43,13,0,30,22,56,71,0,Matches
Jeremie Frimpong,nl NED,FW,Leverkusen,20-065,2000,0.2,1,0,1,0,0,0,0,,0,4,0,0.0,2,0,2,0,0,0,0,0,1,0,0,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,28-004,1993,3.4,2,2,0,2,0,1,10,10.0,9,65,16,24.6,5,27,33,7,2,0,5,1,3,4,0,Matches
Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,26-005,1995,7.6,14,7,5,9,0,4,17,23.5,13,125,43,34.4,44,52,29,17,0,0,17,14,28,15,0,Matches
Christian Gebauer,at AUT,"MF,FW",Arminia,27-055,1993,4.0,8,3,4,4,0,1,7,14.3,6,56,13,23.2,17,25,14,2,0,0,2,3,11,15,0,Matches
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,34-051,1986,19.0,34,17,26,6,2,14,38,36.8,24,238,73,30.7,126,75,37,32,6,0,26,31,65,66,1,Matches
Dennis Geiger,de GER,MF,Hoffenheim,22-248,1998,7.3,18,11,3,12,3,6,13,46.2,7,145,45,31.0,27,79,39,9,0,0,9,5,23,1,0,Matches
Christian Gentner,de GER,MF,Union Berlin,35-183,1985,4.7,11,7,7,2,2,3,8,37.5,5,58,24,41.4,16,30,12,6,1,0,5,2,13,15,0,Matches
Yannick Gerhardt,de GER,MF,Wolfsburg,26-337,1994,10.1,29,19,8,15,6,7,19,36.8,12,225,72,32.0,47,118,60,13,2,0,11,7,36,19,0,Matches
