player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Javi Martínez,es ESP,"MF,DF",Bayern Munich,32-164,1988,3.1,1,0.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Omar Mascarell,es ESP,MF,Schalke 04,28-011,1993,13.3,10,0.75,8,2,0,0,0,0,1,0.07,0,1,0,0,0,0,0,Matches
Roberto Massimo,de GER,"DF,FW",Stuttgart,20-124,2000,3.8,12,3.12,5,0,3,2,2,0,2,0.52,0,0,0,1,1,0,0,Matches
Jean-Philippe Mateta,fr FRA,FW,Mainz 05,23-230,1997,11.1,25,2.26,18,1,5,0,1,0,4,0.36,3,0,0,0,1,0,0,Matches
Rabbi Matondo,wal WAL,"FW,MF",Schalke 04,20-157,2000,2.4,4,1.64,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Konstantinos Mavropanos,gr GRE,DF,Stuttgart,23-064,1997,6.0,4,0.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Bayern Munich,31-327,1989,1.8,4,2.24,3,0,0,0,1,0,1,0.56,0,0,0,0,1,0,0,Matches
Kevin Mbabu,ch SUI,DF,Wolfsburg,25-300,1995,6.8,12,1.76,10,1,0,0,1,0,2,0.29,2,0,0,0,0,0,0,Matches
Jean-Manuel Mbom,de GER,"MF,DF",Werder Bremen,20-355,2000,11.5,15,1.31,7,2,1,0,4,1,2,0.17,1,0,0,0,1,0,0,Matches
Nathan de Medina,be BEL,DF,Arminia,23-128,1997,4.7,4,0.85,4,0,0,0,0,0,1,0.21,1,0,0,0,0,0,0,Matches
Joshua Mees,de GER,FW,Union Berlin,24-304,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Admir Mehmedi,ch SUI,"MF,FW",Wolfsburg,29-334,1991,6.5,27,4.17,21,1,1,1,2,1,2,0.31,2,0,0,0,0,0,0,Matches
Hamza Mendyl,ma MAR,FW,Schalke 04,23-115,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jorge Meré,es ESP,DF,Köln,23-302,1997,6.6,2,0.30,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Thomas Meunier,be BEL,DF,Dortmund,29-154,1991,12.9,20,1.55,15,1,0,2,1,1,1,0.08,0,0,0,1,0,0,0,Matches
Max Meyer,de GER,MF,Köln,25-148,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Maximilian Mittelstädt,de GER,"DF,MF",Hertha BSC,23-332,1997,11.9,28,2.36,24,2,1,0,0,1,2,0.17,2,0,0,0,0,0,0,Matches
Anthony Modeste,fr FRA,"FW,MF",Köln,32-305,1988,2.5,4,1.63,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Kevin Möhwald,de GER,MF,Werder Bremen,27-225,1993,8.2,14,1.71,10,3,0,1,0,0,1,0.12,1,0,0,0,0,0,0,Matches
Niklas Moisander,fi FIN,DF,Werder Bremen,35-137,1985,5.1,2,0.39,2,0,0,0,0,0,1,0.20,1,0,0,0,0,0,0,Matches
Alkhaly Momo Cissé,gn GUI,DF,Stuttgart,18-119,2002,0.1,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mateu Morey,es ESP,DF,Dortmund,20-348,2000,5.0,9,1.80,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Youssoufa Moukoko,de GER,"FW,MF",Dortmund,16-085,2004,3.7,12,3.26,4,0,1,4,2,1,1,0.27,1,0,0,0,0,0,0,Matches
Nordi Mukiele,fr FRA,DF,RB Leipzig,23-104,1997,12.2,19,1.55,16,1,0,0,2,0,3,0.25,2,0,0,0,1,0,0,Matches
Florian Müller,de GER,GK,Freiburg,23-092,1997,20.0,6,0.30,6,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Sebastian Müller,de GER,"MF,DF",Arminia,20-021,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Thomas Müller,de GER,MF,Bayern Munich,31-153,1989,19.4,87,4.49,80,1,2,1,1,2,16,0.83,15,0,0,1,0,0,0,Matches
Petar Musa,hr CRO,FW,Union Berlin,22-346,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jamal Musiala,eng ENG,"MF,FW",Bayern Munich,17-353,2003,4.6,17,3.73,11,0,2,1,2,1,2,0.44,2,0,0,0,0,0,0,Matches
Shkodran Mustafi,de GER,DF,Schalke 04,28-302,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Phillipp Mwene,at AUT,DF,Mainz 05,27-015,1994,6.5,6,0.92,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Obite N'Dicka,fr FRA,DF,Eint Frankfurt,21-177,1999,11.0,8,0.73,7,1,0,0,0,0,2,0.18,1,1,0,0,0,0,0,Matches
Matija Nastasić,rs SRB,DF,Schalke 04,27-322,1993,13.6,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Paul Nebel,de GER,MF,Mainz 05,18-126,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Luca Netz,de GER,DF,Hertha BSC,17-274,2003,2.2,5,2.31,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Manuel Neuer,de GER,GK,Bayern Munich,34-323,1986,20.0,2,0.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
