player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Deyverson,br BRA,FW,Alavés,29-281,1991,8.6,7,6,4,2,1,3,13,23.1,10,153,49,32.0,15,74,64,14,0,0,14,9,16,10,0,Matches
Abdoulay Diaby,ml MLI,MF,Getafe,29-268,1991,0.2,1,1,0,1,0,0,0,,0,2,0,0.0,0,1,1,2,0,0,2,0,1,0,0,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,24-056,1996,14.0,12,7,7,5,0,6,7,85.7,1,90,26,28.9,51,34,5,34,17,0,17,1,13,72,0,Matches
Víctor Díaz,es ESP,DF,Granada,32-246,1988,1.2,3,2,2,0,1,2,5,40.0,3,13,5,38.5,6,6,1,4,1,0,3,3,6,10,0,Matches
Papakouli Diop,sn SEN,MF,Eibar,34-331,1986,13.8,25,19,7,14,4,7,28,25.0,21,171,58,33.9,37,102,32,14,4,0,10,21,46,27,0,Matches
Djené,tg TOG,DF,Getafe,29-044,1991,18.4,32,19,16,15,1,10,17,58.8,7,138,50,36.2,66,69,3,20,6,1,14,25,57,93,1,Matches
Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,21.7,1,1,1,0,0,0,2,0.0,2,6,0,0.0,6,0,0,0,0,0,0,0,1,0,1,Matches
Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,1,0,0,1,0,0,3,0,Matches
John Donald,es ESP,DF,Elche,20-167,2000,0.6,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
Idrissa Doumbia,ci CIV,MF,Huesca,22-305,1998,3.7,7,6,0,5,2,0,3,0.0,3,47,13,27.7,13,30,4,3,2,0,1,3,10,5,0,Matches
Domingos Duarte,pt POR,DF,Granada,25-340,1995,17.3,24,12,17,6,1,7,13,53.8,6,86,30,34.9,49,35,2,29,15,0,14,16,40,76,1,Matches
Óscar Duarte,cr CRC,DF,Levante,31-255,1989,10.9,7,3,6,1,0,3,10,30.0,7,81,26,32.1,43,33,5,14,12,0,2,15,22,76,0,Matches
Rubén Duarte,es ESP,DF,Alavés,25-118,1995,19.1,44,25,23,16,5,17,33,51.5,16,250,90,36.0,106,108,36,57,5,0,52,29,73,80,0,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,26-322,1994,11.7,13,6,10,3,0,6,10,60.0,4,74,28,37.8,38,32,4,12,4,0,8,1,14,50,0,Matches
Rodrigo Ely,br BRA,DF,Alavés,27-102,1993,5.2,7,3,5,2,0,3,4,75.0,1,28,14,50.0,12,15,1,5,1,0,4,2,9,33,1,Matches
