player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Joaquín Fernández,es ESP,DF,Valladolid,24-258,1996,13.0,5,0,0,18,9,3,0,18,8,1,1,0,126,37,32,53.6,Matches
Fernando,br BRA,MF,Sevilla,33-203,1987,17.0,5,0,0,28,14,0,1,19,29,0,0,0,186,43,19,69.4,Matches
David Ferreiro,es ESP,"FW,MF",Huesca,32-318,1988,14.5,1,0,0,34,19,11,71,6,8,0,0,0,104,5,13,27.8,Matches
Facundo Ferreyra,ar ARG,FW,Celta Vigo,29-336,1991,0.3,1,0,0,1,2,1,0,0,1,0,0,0,0,2,0,100.0,Matches
Fidel,es ESP,"MF,DF",Elche,31-109,1989,13.4,2,0,0,12,22,4,30,6,16,0,0,0,94,6,10,37.5,Matches
Junior Firpo,es ESP,DF,Barcelona,24-175,1996,1.7,0,0,0,3,4,1,4,2,1,0,0,0,11,1,2,33.3,Matches
Kingsley Fobi,gh GHA,DF,Granada,22-146,1998,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
Ramón Folch,es ESP,MF,Elche,31-132,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
José Fontán,es ESP,DF,Celta Vigo,21-002,2000,3.8,2,1,1,14,3,1,2,4,4,0,0,0,32,8,4,66.7,Matches
Dimitri Foulquier,fr FRA,DF,Granada,27-327,1993,16.8,7,0,0,19,12,2,22,14,17,0,1,0,137,14,26,35.0,Matches
Juan Foyth,ar ARG,"MF,DF",Villarreal,23-032,1998,4.0,2,0,0,6,4,0,0,3,8,0,1,0,43,17,8,68.0,Matches
Jorge de Frutos,es ESP,MF,Levante,23-359,1997,10.0,1,0,0,14,12,1,35,7,10,0,0,0,44,4,13,23.5,Matches
Ramiro Funes Mori,ar ARG,DF,Villarreal,29-345,1991,1.1,0,0,0,0,0,0,0,2,2,0,0,0,14,6,0,100.0,Matches
Javi Galán,es ESP,DF,Huesca,26-086,1994,20.3,2,0,0,45,44,3,57,12,43,0,0,0,183,13,23,36.1,Matches
Enric Gallego,es ESP,FW,Osasuna,34-154,1986,6.7,1,0,0,18,11,2,7,0,6,0,0,0,38,70,44,61.4,Matches
Kévin Gameiro,fr FRA,FW,Valencia,33-280,1987,5.6,0,0,0,8,5,3,2,0,3,0,0,0,21,7,16,30.4,Matches
Aleix García,es ESP,MF,Eibar,23-230,1997,0.5,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,,Matches
Borja García,es ESP,"MF,FW",Huesca,30-103,1990,12.2,0,0,0,3,33,1,8,8,10,0,0,0,92,9,11,45.0,Matches
Dani García,es ESP,MF,Athletic Club,30-265,1990,13.5,4,0,0,17,15,0,5,13,13,0,1,0,180,33,24,57.9,Matches
David García,es ESP,DF,Osasuna,26-365,1994,20.0,5,0,0,30,13,0,3,22,12,0,0,0,294,120,26,82.2,Matches
Manu García,es ESP,MF,Alavés,34-293,1986,6.4,3,0,0,8,16,0,3,6,9,0,0,0,63,31,22,58.5,Matches
Raúl García,es ESP,"DF,MF",Valladolid,31-289,1989,5.6,2,0,0,5,8,1,20,5,3,0,0,0,57,18,13,58.1,Matches
Raúl García,es ESP,"FW,MF",Athletic Club,34-217,1986,12.0,7,1,1,40,29,4,8,2,10,0,0,0,80,89,50,64.0,Matches
Rubén García,es ESP,"MF,FW",Osasuna,27-214,1993,19.5,2,0,0,28,31,5,56,10,23,1,0,0,136,38,44,46.3,Matches
Sergi García,es ESP,MF,Alavés,21-305,1999,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
Unai García,es ESP,DF,Osasuna,29-010,1992,10.1,2,0,0,12,4,0,3,9,8,0,0,1,95,10,13,43.5,Matches
Mario Gaspar,es ESP,DF,Villarreal,30-081,1990,13.3,2,0,0,10,6,0,18,16,7,1,1,0,73,22,25,46.8,Matches
David Gil,es ESP,GK,Cádiz,27-033,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
Álvaro Giménez,es ESP,"FW,MF",Cádiz,29-270,1991,4.5,0,0,0,8,6,4,1,3,2,0,0,0,18,20,29,40.8,Matches
Dani Gómez,es ESP,FW,Levante,22-198,1998,9.7,2,0,0,17,21,10,6,0,3,1,0,0,49,5,21,19.2,Matches
Maxi Gómez,uy URU,FW,Valencia,24-183,1996,18.7,4,0,0,34,45,24,10,1,8,3,0,0,72,69,68,50.4,Matches
Moi Gómez,es ESP,"MF,FW",Villarreal,26-235,1994,17.9,1,0,0,12,22,7,31,11,12,0,0,0,116,3,19,13.6,Matches
Papu Gómez,ar ARG,"MF,FW",Sevilla,32-364,1988,0.4,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,,Matches
Sergi Gómez,es ESP,DF,Sevilla,28-322,1992,5.0,1,0,0,0,1,0,0,2,2,0,0,0,31,14,12,53.8,Matches
Sergio Gómez,es ESP,"FW,MF",Huesca,20-162,2000,4.0,0,0,0,4,4,1,10,10,8,0,0,0,24,0,5,0.0,Matches
Maxime Gonalons,fr FRA,MF,Granada,31-340,1989,9.4,6,1,0,21,16,1,3,12,32,0,0,0,130,21,13,61.8,Matches
