player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Papakouli Diop,sn SEN,MF,Eibar,34-331,1986,13.8,308,452,68.1,6176,1578,118,153,77.1,132,185,71.4,51,94,54.3,1,0.7,+0.3,6,53,2,1,41,Matches
Djené,tg TOG,DF,Getafe,29-044,1991,18.4,501,633,79.1,11517,3573,126,149,84.6,258,300,86.0,113,176,64.2,0,0.0,0.0,1,41,0,0,37,Matches
Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,21.7,341,685,49.8,17205,13490,20,20,100.0,87,89,97.8,233,574,40.6,0,0.5,-0.5,4,42,2,0,1,Matches
Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22.0,486,711,68.4,18598,13276,60,61,98.4,160,161,99.4,265,488,54.3,0,0.0,0.0,0,6,0,0,1,Matches
John Donald,es ESP,DF,Elche,20-167,2000,0.6,19,20,95.0,379,146,10,11,90.9,5,5,100.0,4,4,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Idrissa Doumbia,ci CIV,MF,Huesca,22-305,1998,3.7,150,164,91.5,2804,477,63,69,91.3,69,74,93.2,18,20,90.0,0,0.0,0.0,1,2,1,0,5,Matches
Domingos Duarte,pt POR,DF,Granada,25-340,1995,17.3,480,614,78.2,11395,3909,98,119,82.4,262,294,89.1,118,192,61.5,0,0.9,-0.9,2,31,3,1,49,Matches
Óscar Duarte,cr CRC,DF,Levante,31-255,1989,10.9,471,537,87.7,10990,3486,104,114,91.2,248,264,93.9,110,148,74.3,0,0.1,-0.1,3,22,0,0,31,Matches
Rubén Duarte,es ESP,DF,Alavés,25-118,1995,19.1,646,934,69.2,12882,6961,268,316,84.8,276,367,75.2,98,225,43.6,0,2.0,-2.0,20,52,15,6,90,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,26-322,1994,11.7,602,701,85.9,13190,3955,163,178,91.6,330,365,90.4,105,150,70.0,0,0.1,-0.1,2,51,2,1,52,Matches
Rodrigo Ely,br BRA,DF,Alavés,27-102,1993,5.2,125,159,78.6,3190,1013,27,33,81.8,61,70,87.1,35,53,66.0,0,0.1,-0.1,1,4,1,0,5,Matches
Emerson,br BRA,DF,Betis,22-030,1999,17.2,838,1036,80.9,12982,4901,483,536,90.1,280,334,83.8,56,112,50.0,2,1.3,+0.7,16,50,23,9,68,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,23-257,1997,14.8,180,258,69.8,2575,262,106,126,84.1,54,87,62.1,10,19,52.6,0,1.0,-1.0,7,6,0,0,4,Matches
Sergi Enrich,es ESP,FW,Eibar,30-353,1990,5.9,123,170,72.4,1788,231,76,101,75.2,32,44,72.7,9,13,69.2,0,0.4,-0.4,6,4,3,0,9,Matches
Dani Escriche,es ESP,"FW,MF",Huesca,22-326,1998,2.9,66,83,79.5,907,130,42,49,85.7,21,26,80.8,3,5,60.0,1,0.1,+0.9,1,4,0,0,4,Matches
Sergio Escudero,es ESP,DF,Sevilla,31-164,1989,3.2,167,204,81.9,2730,933,72,81,88.9,84,95,88.4,5,18,27.8,0,0.4,-0.4,4,11,5,1,9,Matches
Alfonso Espino,uy URU,DF,Cádiz,29-039,1992,17.1,387,574,67.4,7867,4166,151,173,87.3,168,244,68.9,62,134,46.3,2,1.1,+0.9,9,26,9,6,34,Matches
Esquerdo,es ESP,MF,Valencia,22-042,1999,2.6,77,97,79.4,1445,319,38,42,90.5,26,32,81.3,11,17,64.7,0,0.1,-0.1,2,3,1,0,7,Matches
