player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Mitchell Dijks,nl NED,DF,Bologna,28-004,1993,9.0,8,0.89,6,1,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Federico Dimarco,it ITA,DF,Hellas Verona,23-095,1997,17.9,61,3.41,30,24,2,3,2,0,5,0.28,4,0,0,1,0,0,0,Matches
Koffi Djidji,ci CIV,DF,Crotone,28-075,1992,4.5,3,0.67,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Berat Djimsiti,al ALB,DF,Atalanta,27-360,1993,15.3,16,1.04,13,1,0,1,1,0,2,0.13,1,1,0,0,0,0,0,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,22-230,1998,9.4,28,2.99,19,1,2,1,3,2,0,0.00,0,0,0,0,0,0,0,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,21-354,1999,20.0,2,0.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,23-178,1997,21.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Denis Drăguș,ro ROU,"FW,MF",Crotone,21-222,1999,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Radu Drăgușin,ro ROU,DF,Juventus,19-010,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Léo Duarte,br BRA,DF,Milan,24-211,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alfred Duncan,gh GHA,MF,Fiorentina,27-340,1993,1.8,4,2.22,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alfred Duncan,gh GHA,MF,Cagliari,27-340,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Paulo Dybala,ar ARG,FW,Juventus,27-090,1993,7.2,35,4.88,22,7,0,3,3,0,2,0.28,2,0,0,0,0,0,0,Matches
Edin Džeko,ba BIH,FW,Roma,34-333,1986,13.3,41,3.07,30,0,2,3,5,1,8,0.60,5,0,1,0,1,1,0,Matches
Steeve-Mike Ebongue,fr FRA,MF,Genoa,19-359,2001,0.4,2,4.50,1,0,0,0,0,1,2,4.50,1,0,0,0,0,1,0,Matches
Simone Edera,it ITA,"DF,MF",Torino,24-035,1997,0.6,2,3.46,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Albin Ekdal,se SWE,MF,Sampdoria,31-200,1989,16.3,14,0.86,10,0,1,1,1,1,1,0.06,1,0,0,0,0,0,0,Matches
Elif Elmas,mk MKD,"MF,FW",Napoli,21-142,1999,5.3,18,3.38,13,0,3,1,1,0,4,0.75,0,0,3,1,0,0,0,Matches
Manu Emmanuel Gyabuaa,it ITA,MF,Atalanta,19-145,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alan Empereur,br BRA,DF,Hellas Verona,26-340,1994,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Christian Eriksen,dk DEN,"MF,DF",Inter,28-365,1992,4.3,19,4.44,12,5,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Martin Erlic,hr CRO,DF,Spezia,23-020,1998,9.6,3,0.31,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
