player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Mattia Bani,it ITA,DF,Parma,27-065,1993,1,45,45,2.4,0.5,1,45,0,0,,0,0.00,0,2,-2,-4.00,-2.78,0.4,0.2,+0.1,+0.23,+0.94,Matches
Mattia Bani,it ITA,DF,Bologna,27-065,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26-072,1994,18,"1,459",81,77.2,16.2,16,88,13,2,27,0,1.56,20,20,0,0.00,-0.63,20.1,24.1,-4.0,-0.24,-0.11,Matches
Federico Barba,it ITA,DF,Benevento,27-165,1993,17,"1,372",81,69.3,15.2,16,85,13,1,16,0,1.06,16,25,-9,-0.59,+0.59,17.9,21.9,-4.0,-0.26,+0.75,Matches
Nicolò Barella,it ITA,MF,Inter,24-006,1997,21,"1,618",77,85.6,18.0,18,85,12,3,31,0,2.24,37,21,+16,+0.89,-3.08,36.2,21.6,+14.6,+0.81,-1.04,Matches
Antonio Barreca,it ITA,DF,Fiorentina,25-332,1995,3,85,28,4.5,0.9,1,58,0,2,14,15,0.33,1,1,0,0.00,+0.60,1.3,0.9,+0.4,+0.40,+0.67,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,22-091,1998,22,"1,723",78,87.0,19.1,20,84,9,2,25,0,1.09,25,31,-6,-0.31,+0.04,23.7,30.0,-6.3,-0.33,-0.52,Matches
Paolo Bartolomei,it ITA,MF,Spezia,31-176,1989,6,320,53,16.9,3.6,3,84,2,3,23,4,0.67,5,10,-5,-1.41,-1.12,2.5,11.2,-8.7,-2.44,-2.18,Matches
Daniele Baselli,it ITA,MF,Torino,28-338,1992,3,75,25,4.0,0.8,0,,0,3,25,4,1.00,3,0,+3,+3.60,+4.20,2.2,0.7,+1.5,+1.84,+2.07,Matches
Alessandro Bastoni,it ITA,DF,Inter,21-306,1999,18,"1,583",88,83.8,17.6,18,88,15,0,,2,2.39,39,17,+22,+1.25,-0.51,33.5,17.7,+15.8,+0.90,-0.42,Matches
Simone Bastoni,it ITA,DF,Spezia,24-100,1996,12,884,74,46.8,9.8,11,77,5,1,33,4,0.83,16,19,-3,-0.31,+0.32,12.5,15.7,-3.2,-0.33,+0.57,Matches
Bastos,ao ANG,DF,Lazio,29-323,1991,2,63,32,3.3,0.7,0,,0,2,32,0,0.50,0,2,-2,-2.86,-3.40,1.4,0.8,+0.7,+0.94,+0.79,Matches
Thomas Battistella,it ITA,MF,Udinese,19-199,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,19,"1,664",88,88.0,18.5,18,90,17,1,48,1,1.11,19,24,-5,-0.27,-0.27,23.5,18.1,+5.5,+0.30,-0.14,Matches
