player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Kastriot Dermaku,al ALB,DF,Parma,29-029,1992,1.1,0,0,0,2,2,0,0,1,0,0,0,0,7,0,1,0.0,Matches
Kiril Despodov,bg BUL,FW,Cagliari,24-094,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Mattia Destro,it ITA,FW,Genoa,29-330,1991,9.2,4,0,0,21,19,14,0,1,6,0,0,0,32,15,33,31.3,Matches
Gerard Deulofeu,es ESP,FW,Udinese,26-337,1994,5.6,0,0,0,6,6,5,12,2,2,1,0,0,25,0,10,0.0,Matches
Jacopo Dezi,it ITA,"FW,MF",Parma,29-003,1992,0.9,0,0,0,1,3,0,3,1,1,0,0,0,5,0,2,0.0,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,32-146,1988,5.6,1,0,0,16,20,6,5,0,0,0,0,0,21,30,28,51.7,Matches
Samuel Di Carmine,it ITA,FW,Crotone,32-146,1988,1.5,0,0,0,1,4,0,1,0,0,0,0,0,4,3,6,33.3,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,27-193,1993,19.0,6,0,0,24,25,1,32,19,35,0,1,0,129,27,23,54.0,Matches
Giuseppe Di Serio,it ITA,"MF,FW",Benevento,19-208,2001,1.9,0,0,0,7,14,2,1,1,2,0,0,0,8,7,9,43.8,Matches
Amad Diallo,ci CIV,MF,Atalanta,18-217,2002,0.2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Amadou Diawara,gn GUI,MF,Roma,23-211,1997,1.8,0,0,0,2,2,0,0,0,4,0,0,0,23,1,0,100.0,Matches
Brahim Díaz,es ESP,"MF,FW",Milan,21-194,1999,7.7,1,0,0,9,22,1,4,4,14,1,0,0,52,4,15,21.1,Matches
Daan Dierckx,be BEL,DF,Parma,17-355,2003,1.0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,2,0.0,Matches
Mitchell Dijks,nl NED,DF,Bologna,28-004,1993,9.0,5,1,1,24,9,0,23,8,11,0,1,0,60,5,9,35.7,Matches
Federico Dimarco,it ITA,DF,Hellas Verona,23-095,1997,17.9,4,0,0,22,29,5,70,19,16,0,0,0,158,9,20,31.0,Matches
Koffi Djidji,ci CIV,DF,Crotone,28-075,1992,4.5,1,0,0,8,2,0,0,5,4,0,0,0,40,9,9,50.0,Matches
Berat Djimsiti,al ALB,DF,Atalanta,27-360,1993,15.3,4,0,0,14,16,1,3,19,15,0,0,0,200,44,14,75.9,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,22-230,1998,9.4,7,0,0,18,10,1,7,9,24,0,0,0,112,18,18,50.0,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,21-354,1999,20.0,1,0,0,1,2,0,0,0,0,0,0,0,80,0,0,,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,23-178,1997,21.0,0,0,0,0,2,0,0,0,0,0,0,0,100,0,0,,Matches
Denis Drăguș,ro ROU,"FW,MF",Crotone,21-222,1999,1.9,1,0,0,4,4,2,3,1,2,0,0,0,14,1,3,25.0,Matches
Radu Drăgușin,ro ROU,DF,Juventus,19-010,2002,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,Matches
Léo Duarte,br BRA,DF,Milan,24-211,1996,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
Alfred Duncan,gh GHA,MF,Fiorentina,27-340,1993,1.8,0,0,0,2,2,0,1,3,1,0,0,0,16,2,5,28.6,Matches
Alfred Duncan,gh GHA,MF,Cagliari,27-340,1993,1.5,0,0,0,1,0,0,3,3,0,0,0,0,11,1,2,33.3,Matches
Paulo Dybala,ar ARG,FW,Juventus,27-090,1993,7.2,0,0,0,4,16,4,15,1,6,0,0,0,34,1,4,20.0,Matches
Edin Džeko,ba BIH,FW,Roma,34-333,1986,13.3,1,0,0,22,27,6,7,3,4,1,0,0,50,52,39,57.1,Matches
Steeve-Mike Ebongue,fr FRA,MF,Genoa,19-359,2001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,,Matches
Simone Edera,it ITA,"DF,MF",Torino,24-035,1997,0.6,0,0,0,1,1,0,2,0,0,0,0,0,5,0,0,,Matches
Albin Ekdal,se SWE,MF,Sampdoria,31-200,1989,16.3,6,0,0,31,29,0,3,19,33,0,1,0,209,23,15,60.5,Matches
Elif Elmas,mk MKD,"MF,FW",Napoli,21-142,1999,5.3,3,0,0,8,6,1,4,3,6,0,0,0,31,0,3,0.0,Matches
Manu Emmanuel Gyabuaa,it ITA,MF,Atalanta,19-145,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Alan Empereur,br BRA,DF,Hellas Verona,26-340,1994,2.4,1,0,0,3,1,0,0,5,1,0,0,0,24,3,5,37.5,Matches
Christian Eriksen,dk DEN,"MF,DF",Inter,28-365,1992,4.3,0,0,0,4,1,1,10,0,2,0,0,0,40,7,1,87.5,Matches
Martin Erlic,hr CRO,DF,Spezia,23-020,1998,9.6,4,0,0,18,9,0,1,13,13,0,0,0,102,23,18,56.1,Matches
Gonzalo Escalante,ar ARG,MF,Lazio,27-323,1993,5.6,4,0,0,10,6,0,0,7,14,0,0,0,75,13,8,61.9,Matches
Nahuel Estévez,ar ARG,MF,Spezia,25-091,1995,10.6,5,0,0,18,11,0,24,14,7,0,0,0,98,11,11,50.0,Matches
Valentin Eysseric,fr FRA,"FW,MF",Fiorentina,28-325,1992,2.3,0,0,0,3,3,0,3,0,3,0,0,0,20,4,3,57.1,Matches
Iago Falque,es ESP,"MF,FW",Benevento,31-040,1990,2.7,0,0,0,0,0,0,6,1,1,0,0,0,25,1,7,12.5,Matches
Andri Fannar Baldursson,is ISL,MF,Bologna,19-034,2002,1.3,1,0,0,5,1,1,0,0,1,0,0,0,8,1,2,33.3,Matches
Paolo Faragò,it ITA,"DF,MF",Cagliari,28-001,1993,4.1,2,0,0,7,2,0,7,9,3,0,0,0,30,7,4,63.6,Matches
Davide Faraoni,it ITA,DF,Hellas Verona,29-111,1991,17.6,5,0,0,24,17,3,32,27,20,0,0,0,169,29,24,54.7,Matches
Mohamed Fares,dz ALG,DF,Lazio,24-364,1996,4.7,4,0,0,14,3,2,19,1,5,0,0,0,36,3,6,33.3,Matches
Diego Farias,br BRA,FW,Spezia,30-279,1990,10.1,2,0,0,11,8,2,8,8,3,0,0,0,44,3,6,33.3,Matches
Andrea Favilli,it ITA,FW,Hellas Verona,23-272,1997,3.0,1,0,0,11,7,7,0,0,2,0,0,0,11,5,26,16.1,Matches
Luiz Felipe,br BRA,DF,Lazio,23-328,1997,8.3,3,0,0,11,6,1,1,18,24,0,0,0,75,9,11,45.0,Matches
Alex Ferrari,it ITA,DF,Sampdoria,26-227,1994,4.1,1,0,0,4,5,0,3,8,6,0,0,0,33,8,3,72.7,Matches
