player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Sebastien De Maio,fr FRA,DF,Udinese,33-345,1987,6.9,0,3,1,33.3,0.43,0.14,0.00,0.00,14.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,26-265,1994,19.8,5,46,9,19.6,2.32,0.45,0.07,0.33,24.3,5,2,2,4.0,2.5,0.06,+1.0,+0.5,Matches
Mattia De Sciglio,it ITA,DF,Juventus,28-116,1992,0.3,0,1,0,0.0,3.75,0.00,0.00,,20.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,32-266,1988,14.2,1,10,6,60.0,0.70,0.42,0.10,0.17,11.3,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,29-241,1991,7.2,2,10,4,40.0,1.38,0.55,0.20,0.50,13.7,0,0,0,1.8,1.8,0.18,+0.2,+0.2,Matches
Alessandro Deiola,it ITA,MF,Cagliari,25-196,1995,0.7,0,1,1,100.0,1.41,1.41,0.00,0.00,23.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Alessandro Deiola,it ITA,MF,Spezia,25-196,1995,4.0,0,5,1,20.0,1.25,0.25,0.00,0.00,23.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30-241,1990,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cristian Dell'Orco,it ITA,DF,Spezia,27-003,1994,2.7,0,1,0,0.0,0.36,0.00,0.00,,6.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Merih Demiral,tr TUR,DF,Juventus,22-345,1998,6.2,0,6,1,16.7,0.97,0.16,0.00,0.00,10.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
Diego Demme,de GER,MF,Napoli,29-084,1991,8.3,2,7,4,57.1,0.84,0.48,0.29,0.50,14.0,0,0,0,0.8,0.8,0.12,+1.2,+1.2,Matches
Stefano Denswil,nl NED,DF,Bologna,27-282,1993,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fabio Depaoli,it ITA,DF,Benevento,23-295,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,15.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Fabio Depaoli,it ITA,DF,Atalanta,23-295,1997,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fabio Depaoli,it ITA,MF,Sampdoria,23-295,1997,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,17.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Kastriot Dermaku,al ALB,DF,Parma,29-029,1992,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kiril Despodov,bg BUL,FW,Cagliari,24-094,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mattia Destro,it ITA,FW,Genoa,29-330,1991,9.2,9,25,15,60.0,2.73,1.64,0.36,0.60,12.5,0,0,0,5.0,5.0,0.20,+4.0,+4.0,Matches
Gerard Deulofeu,es ESP,FW,Udinese,26-337,1994,5.6,1,15,8,53.3,2.66,1.42,0.07,0.13,17.1,1,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Jacopo Dezi,it ITA,"FW,MF",Parma,29-003,1992,0.9,0,1,0,0.0,1.14,0.00,0.00,,20.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,32-146,1988,5.6,0,9,2,22.2,1.62,0.36,0.00,0.00,9.7,0,0,0,1.6,1.6,0.17,-1.6,-1.6,Matches
