player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Danilo D'Ambrosio,it ITA,DF,Inter,32-157,1988,4.4,273,250,23,11,0,24,5,3,0,0,0,0,213,36,24,58,189,5,12,3,242,2,0,8,3,Matches
Bryan Dabo,bf BFA,MF,Benevento,28-361,1992,7.5,312,303,9,7,0,70,7,6,1,0,1,0,197,50,65,61,194,24,0,2,232,1,6,6,10,Matches
Diogo Dalot,pt POR,DF,Milan,21-332,1999,4.5,231,191,40,5,0,28,6,4,2,0,0,0,148,35,48,30,157,5,33,0,186,2,3,8,4,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20-225,2000,12.1,466,439,27,1,0,95,13,20,14,9,2,0,317,76,73,60,362,17,8,6,329,1,7,16,20,Matches
Danilo,br BRA,DF,Juventus,29-213,1991,18.5,1495,1377,118,25,2,117,20,12,1,1,0,0,1133,190,172,185,1167,30,92,8,1336,5,18,22,18,Matches
Andrea Danzi,it ITA,"MF,DF",Hellas Verona,21-354,1999,1.2,39,39,0,0,0,6,0,0,0,0,0,0,20,8,11,11,25,1,0,1,25,2,0,0,5,Matches
Matteo Darmian,it ITA,DF,Parma,31-073,1989,2.3,100,80,20,2,0,8,1,0,0,0,0,0,59,20,21,14,65,2,18,0,78,1,2,3,5,Matches
Matteo Darmian,it ITA,DF,Inter,31-073,1989,6.4,291,231,60,3,0,38,3,18,0,0,0,0,166,75,50,47,170,7,57,0,229,4,4,7,12,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,25-269,1995,13.0,519,489,30,21,0,55,6,5,0,0,0,0,362,50,107,164,286,36,9,2,434,1,8,8,9,Matches
Sebastien De Maio,fr FRA,DF,Udinese,33-345,1987,6.9,306,290,16,15,0,29,2,1,0,0,0,0,215,33,58,31,234,25,1,1,266,0,6,0,2,Matches
