player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Sébastien Cibois,fr FRA,GK,Brest,22-348,1998,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,22-252,1998,7.8,16,2.05,12,3,0,0,1,0,2,0.26,2,0,0,0,0,0,0,Matches
Jonathan Clauss,fr FRA,DF,Lens,28-141,1992,15.2,51,3.36,33,8,4,1,2,3,5,0.33,4,0,0,0,0,1,0,Matches
Marcus Coco,fr FRA,"MF,FW",Nantes,24-234,1996,12.5,25,1.99,17,1,2,1,2,2,4,0.32,2,1,0,1,0,0,0,Matches
Racine Coly,sn SEN,DF,Nice,25-067,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Daniel Congré,fr FRA,DF,Montpellier,35-314,1985,23.7,12,0.51,10,0,0,2,0,0,2,0.08,1,0,0,1,0,0,0,Matches
Sébastien Corchia,fr FRA,DF,Nantes,30-104,1990,14.2,25,1.76,11,13,1,0,0,0,1,0.07,1,0,0,0,0,0,0,Matches
Maxwel Cornet,ci CIV,"DF,FW",Lyon,24-139,1996,17.4,42,2.41,28,5,0,3,6,0,10,0.57,8,0,0,0,2,0,0,Matches
David Pereira da Costa,pt POR,"MF,DF",Lens,20-039,2001,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Benoît Costil,fr FRA,GK,Bordeaux,33-225,1987,24.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,29-176,1991,5.2,7,1.34,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lassana Coulibaly,ml MLI,MF,Angers,24-309,1996,12.7,15,1.18,13,0,0,0,1,1,3,0.24,2,0,0,0,0,1,0,Matches
Senou Coulibaly,ml MLI,DF,Dijon,26-162,1994,8.8,2,0.23,1,0,0,1,0,0,1,0.11,0,0,0,1,0,0,0,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,22-036,1999,7.6,3,0.40,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Adrián Cubas,py PAR,MF,Nîmes,24-267,1996,15.6,11,0.70,7,0,1,0,0,3,0,0.00,0,0,0,0,0,0,0,Matches
Mickaël Cuisance,fr FRA,MF,Marseille,21-181,1999,9.0,16,1.78,14,0,1,1,0,0,3,0.33,3,0,0,0,0,0,0,Matches
Damien Da Silva,fr FRA,DF,Rennes,32-272,1988,19.0,13,0.69,12,0,0,0,0,1,1,0.05,1,0,0,0,0,0,0,Matches
Colin Dagba,fr FRA,DF,Paris S-G,22-157,1998,9.9,17,1.72,14,0,1,0,2,0,3,0.30,3,0,0,0,0,0,0,Matches
Flavius Daniliuc,at AUT,DF,Nice,19-292,2001,11.3,9,0.80,6,0,0,2,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Dante,br BRA,DF,Nice,37-118,1983,8.6,8,0.93,7,0,0,1,0,0,1,0.12,1,0,0,0,0,0,0,Matches
Jonathan David,ca CAN,FW,Lille,21-030,2000,15.4,50,3.24,36,1,6,5,2,0,8,0.52,5,0,1,1,1,0,0,Matches
Mattia De Sciglio,it ITA,DF,Lyon,28-116,1992,8.1,13,1.61,11,1,0,0,0,1,1,0.12,0,1,0,0,0,0,0,Matches
Thibault De Smet,be BEL,DF,Reims,22-253,1998,4.4,8,1.83,6,0,1,0,1,0,1,0.23,1,0,0,0,0,0,0,Matches
Lucas Deaux,fr FRA,"MF,DF",Nîmes,32-049,1988,13.7,25,1.82,22,0,1,1,0,1,3,0.22,3,0,0,0,0,0,0,Matches
Mathieu Debuchy,fr FRA,DF,Saint-Étienne,35-200,1985,11.9,18,1.52,15,0,0,3,0,0,2,0.17,0,0,0,2,0,0,0,Matches
Romain Del Castillo,fr FRA,"MF,FW",Rennes,24-321,1996,5.2,23,4.42,11,4,5,1,0,2,4,0.77,2,1,1,0,0,0,0,Matches
Thomas Delaine,fr FRA,DF,Metz,28-326,1992,11.7,15,1.28,12,0,2,0,1,0,1,0.09,1,0,0,0,0,0,0,Matches
Jonathan Delaplace,fr FRA,DF,Lorient,34-330,1986,8.4,21,2.50,19,2,0,0,0,0,1,0.12,1,0,0,0,0,0,0,Matches
Andy Delort,dz ALG,FW,Montpellier,29-127,1991,17.3,68,3.93,51,2,2,6,7,0,10,0.58,8,0,1,0,1,0,0,Matches
Moussa Dembélé,fr FRA,FW,Lyon,24-216,1996,7.5,23,3.06,14,0,2,4,2,1,1,0.13,1,0,0,0,0,0,0,Matches
Jason Denayer,be BEL,DF,Lyon,25-230,1995,18.9,5,0.26,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Kevin Denkey,tg TOG,FW,Nîmes,20-075,2000,5.8,9,1.55,5,0,0,3,1,0,1,0.17,1,0,0,0,0,0,0,Matches
Memphis Depay,nl NED,FW,Lyon,27-000,1994,20.1,110,5.46,63,19,10,7,7,4,16,0.79,10,1,3,0,1,1,0,Matches
Ángel Di María,ar ARG,"FW,MF",Paris S-G,32-365,1988,15.0,93,6.21,52,21,5,6,7,2,13,0.87,9,1,0,1,1,1,0,Matches
Boulaye Dia,sn SEN,"FW,MF",Reims,24-089,1996,19.7,49,2.49,33,0,9,1,4,2,6,0.30,2,0,3,0,1,0,0,Matches
Abdou Diallo,fr FRA,DF,Paris S-G,24-285,1996,10.4,3,0.29,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Habib Diallo,sn SEN,FW,Metz,25-240,1995,1.6,1,0.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Habib Diallo,sn SEN,FW,Strasbourg,25-240,1995,15.5,35,2.26,26,0,3,5,0,1,9,0.58,5,0,0,3,0,1,0,Matches
Ibrahima Diallo,fr FRA,MF,Brest,21-342,1999,4.9,11,2.25,7,0,1,0,2,1,0,0.00,0,0,0,0,0,0,0,Matches
Stéphane Diarra,fr FRA,"FW,MF",Lorient,22-066,1998,1.9,6,3.18,4,0,2,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Raphael Dias Belloli,br BRA,"FW,MF",Rennes,24-061,1996,4.5,24,5.35,11,3,4,1,5,0,6,1.34,3,0,2,0,1,0,0,Matches
Krepin Diatta,sn SEN,"MF,DF",Monaco,21-354,1999,2.3,3,1.32,2,0,0,0,1,0,1,0.44,1,0,0,0,0,0,0,Matches
Tristan Dingomé,cm CMR,MF,Reims,29-362,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sinaly Diomande,ci CIV,DF,Lyon,19-310,2001,8.5,3,0.35,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lois Diony,fr FRA,FW,Angers,28-055,1992,10.2,15,1.47,9,0,1,1,3,1,1,0.10,1,0,0,0,0,0,0,Matches
Sofiane Diop,fr FRA,"MF,FW",Monaco,20-249,2000,18.1,57,3.14,44,3,2,4,1,3,5,0.28,2,0,0,1,0,2,0,Matches
Yehvann Diouf,fr FRA,GK,Reims,21-089,1999,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Assane Dioussé,sn SEN,DF,Saint-Étienne,23-146,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
