player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Daniel Congré,fr FRA,DF,Montpellier,35-314,1985,23.7,31,21,24,7,0,14,38,36.8,24,196,81,41.3,112,71,13,42,23,0,19,34,65,109,1,Matches
Sébastien Corchia,fr FRA,DF,Nantes,30-104,1990,14.2,19,10,10,8,1,9,26,34.6,17,147,46,31.3,44,73,30,27,5,0,22,13,32,44,0,Matches
Maxwel Cornet,ci CIV,"DF,FW",Lyon,24-139,1996,17.4,56,32,36,13,7,21,46,45.7,25,212,72,34.0,110,70,32,31,2,0,29,21,77,45,1,Matches
David Pereira da Costa,pt POR,"MF,DF",Lens,20-039,2001,0.4,2,1,0,2,0,1,1,100.0,0,7,2,28.6,0,5,2,0,0,0,0,0,2,0,0,Matches
Benoît Costil,fr FRA,GK,Bordeaux,33-225,1987,24.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,0,0,0,0,0,0,1,0,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,29-176,1991,5.2,1,1,0,0,1,1,2,50.0,1,26,4,15.4,0,12,14,3,1,0,2,1,2,5,0,Matches
Lassana Coulibaly,ml MLI,MF,Angers,24-309,1996,12.7,53,36,30,16,7,19,48,39.6,29,331,106,32.0,126,168,37,18,4,0,14,26,79,18,1,Matches
Senou Coulibaly,ml MLI,DF,Dijon,26-162,1994,8.8,12,8,10,2,0,3,11,27.3,8,62,22,35.5,47,14,1,16,8,0,8,12,24,39,0,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,22-036,1999,7.6,8,3,5,2,1,3,6,50.0,3,56,14,25.0,37,14,5,17,7,0,10,6,14,31,0,Matches
Adrián Cubas,py PAR,MF,Nîmes,24-267,1996,15.6,54,40,22,24,8,22,57,38.6,35,362,133,36.7,137,193,32,27,6,0,21,32,86,17,1,Matches
Mickaël Cuisance,fr FRA,MF,Marseille,21-181,1999,9.0,23,15,9,10,4,7,27,25.9,20,223,57,25.6,52,121,50,11,0,0,11,4,27,4,0,Matches
Damien Da Silva,fr FRA,DF,Rennes,32-272,1988,19.0,16,10,12,3,1,5,14,35.7,9,103,46,44.7,53,47,3,20,11,0,9,19,35,77,1,Matches
Colin Dagba,fr FRA,DF,Paris S-G,22-157,1998,9.9,20,10,5,11,4,7,17,41.2,10,149,46,30.9,44,66,39,23,4,1,19,7,27,17,0,Matches
Flavius Daniliuc,at AUT,DF,Nice,19-292,2001,11.3,19,8,12,5,2,8,12,66.7,4,99,31,31.3,54,31,14,14,6,0,8,13,32,37,0,Matches
Dante,br BRA,DF,Nice,37-118,1983,8.6,8,7,5,3,0,3,9,33.3,6,53,20,37.7,29,23,1,6,4,0,2,2,10,32,0,Matches
Jonathan David,ca CAN,FW,Lille,21-030,2000,15.4,12,7,2,4,6,2,11,18.2,9,273,86,31.5,16,103,154,15,1,0,14,8,20,4,0,Matches
Mattia De Sciglio,it ITA,DF,Lyon,28-116,1992,8.1,23,17,12,7,4,10,19,52.6,9,92,38,41.3,32,41,19,18,2,0,16,13,36,17,0,Matches
